Beta max,Beta min,Beta mean,Beta std d,Beta Var,Alpha max,Alpha min,Alpha mean,Alpha std d,Alpha Var,Theta max,Theta min,Theta mean,Theta std d,Theta Var,Delta max,Delta min,Delta mean,Delta std d,Delta Var,Number
26.02995959,62.16132971,76.45611533,497.6042571,0.000293024,6.96E-06,7.52E-06,1.45E-05,0.468782433,0.344942923,0.627693397,2.338680418,2.616186551,3.458776883,5.848031704,28.32896372,6.84443207,11.96313753,34.19947482,802.5301856,0
17.89647058,24.66862244,144.808532,101.9634635,0.000246748,1.52E-05,1.18E-05,7.24E-07,0.339538814,0.18605753,0.869920841,0.646154905,1.825257483,1.819706529,9.458184423,7.05357025,3.331564877,3.311331853,89.45725258,49.75285327,0
31.96733537,42.7338681,50.41252017,61.69231468,9.25E-10,7.77E-08,5.75E-06,1.54E-05,0.455162994,0.211831703,0.249934816,0.192523106,2.656424943,2.258223499,2.607236339,2.969248661,7.05659348,5.09957337,6.797681325,8.81643761,0
17.79377799,19.27091283,21.16357061,38.73492243,0.00026558,2.33E-06,4.42E-06,3.14E-05,0.196895087,0.100217908,0.08937383,0.133598881,1.21679677,1.025488997,1.016352782,1.892843414,1.48059438,1.051627684,1.032972978,3.582856189,0
12.90807395,6.179737394,50.01084631,34.07198535,4.22E-05,8.01E-06,6.10E-07,1.95E-05,0.148060612,0.062223397,0.184201004,0.145879981,0.902178425,0.51135517,2.48982024,1.775278604,0.81392591,0.26148411,6.199204828,3.151614123,0
29.41214122,42.19706929,23.1145779,26.12095403,0.00043736,9.48E-05,4.85E-09,9.55E-05,0.283553151,0.160041889,0.149694006,0.117063029,1.677161277,2.005505626,1.542311224,1.404593173,2.812869948,4.022052816,2.378723913,1.972881983,0
12.59052279,22.23423779,32.39562608,27.48259085,1.01E-07,1.24E-07,1.07E-05,3.52E-05,0.189950538,0.109881065,0.219801853,0.119203776,1.040073381,1.205671796,2.238269597,1.402111144,1.081752638,1.45364448,5.009850789,1.965915659,0
11.49898175,8.57585521,14.98863609,41.72743401,3.07E-06,1.95E-06,1.22E-07,0.000123336,0.16293853,0.047465616,0.117600865,0.165169878,0.914683798,0.494030345,1.090540544,2.085831758,0.836646451,0.244065982,1.189278679,4.350694121,0
6.973028711,15.80591319,9.038211261,18.7383682,2.20E-05,2.58E-06,2.20E-06,5.29E-05,0.122085073,0.090871464,0.070012066,0.103602618,0.650846684,0.898648212,0.697268471,1.08230872,0.423601406,0.807568609,0.486183321,1.171392165,0
19.91229971,38.39480029,7.060277964,54.17400889,0.000284203,1.94E-08,9.71E-06,0.000117582,0.291609481,0.132487857,0.064003015,0.239163389,1.580298078,1.802456336,0.568926465,2.853836317,2.497342017,3.248848842,0.323677323,8.144381726,0
22.51859354,15.22806094,17.73894443,19.43865175,7.08E-07,1.15E-05,5.44E-07,8.75E-05,0.381225236,0.092546428,0.066166804,0.124049026,2.060763998,0.996000064,0.830906051,1.281827432,4.246748255,0.992016128,0.690404865,1.643081564,0
23.96631129,53.72941604,33.54996959,24.96219687,1.00E-05,1.67E-05,1.55E-05,0.000256791,0.392951171,0.251243739,0.199844694,0.157025978,2.20264745,2.781686195,1.984539567,1.598493755,4.851655789,7.737778087,3.938397295,2.555182283,0
7.578967564,24.15399289,15.14729495,17.27695553,2.69E-06,5.41E-07,2.69E-05,0.000137131,0.158953781,0.105736098,0.103089728,0.117212248,0.753030949,1.205943116,1.067704848,1.266339558,0.56705561,1.454298799,1.139993642,1.603615875,0
8.762512133,14.23332453,34.65370813,24.34275476,8.69E-05,4.05E-06,2.00E-05,6.75E-05,0.156967019,0.055064285,0.15163286,0.111565677,0.788503024,0.688124216,1.733675319,1.329017909,0.621737019,0.473514937,3.005630112,1.766288603,0
16.20283394,12.96593915,28.84374099,6.59454885,6.87E-05,4.20E-08,8.55E-07,3.80E-08,0.300647513,0.103666328,0.198743449,0.036968517,1.547362669,0.909691228,1.849179626,0.400534934,2.394331228,0.82753813,3.419465291,0.160428234,0
25.27782033,16.9251805,19.40809966,23.61869707,4.44E-05,3.08E-05,5.73E-05,9.42E-06,0.34360656,0.130084526,0.154162308,0.057253275,2.039244719,1.218968144,1.286767283,1.049402479,4.158519024,1.485883337,1.655770042,1.101245563,0
16.67143842,46.56992805,330.8506814,2671.589806,1.44E-06,1.54E-05,5.34E-05,0.000162039,0.345191443,0.274760363,1.599807045,11.66947121,1.709785612,2.659779813,17.77535822,148.203157,2.923366838,7.074428653,315.96336,21964.17575,0
30.08119021,15.46769447,31.16441069,332.385091,0.00012919,2.93E-05,7.74E-06,4.38E-05,0.437510606,0.067413268,0.282488045,1.544685602,2.414839948,0.794784805,2.66015231,20.29439689,5.831451973,0.631682887,7.076410313,411.8625451,0
18.20474077,10.33249343,33.3849065,66.41858969,0.000146352,1.50E-07,1.13E-06,0.000217919,0.303072376,0.064018651,0.164640778,0.247543954,1.573518209,0.619147678,1.774942363,3.262787035,2.475959553,0.383343847,3.150420391,10.64577924,0
59.71069847,36.22098583,937.5471933,2397.662509,2.76E-05,1.95E-05,3.66E-05,5.79E-05,1.167496882,0.191954218,3.201557728,12.18835055,5.798230134,1.96550263,43.21293625,144.2257032,33.61947269,3.863200589,1867.357859,20801.05347,0
35.41825453,88.80119557,320.1865091,72.53160109,4.23E-05,1.54E-07,8.93E-06,0.000579309,0.612323237,0.676817124,2.710209792,0.481934505,3.062235091,6.360658956,24.44121619,4.761629699,9.377283755,40.45798236,597.373049,22.67311739,0
50.88777744,152.6437609,372.7408364,17561.81148,3.62E-08,0.003143055,5.27E-06,0.031716589,0.696233909,1.014529387,4.119521429,112.087485,4.154724448,8.098550076,32.77041031,1209.575384,17.26173524,65.58651334,1073.899792,1463072.611,0
87.31279268,281.6630381,1265.872743,3658.700665,0.002116946,0.000577121,1.13E-05,0.00055754,0.977407487,1.973297678,5.767699417,23.19380279,6.583730976,17.2898637,65.29878133,256.9072268,43.34551356,298.9393869,4263.930844,66001.32316,0
28.71324202,7.698493002,22.27673188,43.07438369,2.91E-06,4.98E-06,4.95E-07,3.68E-05,0.186669542,0.043601715,0.099813029,0.187013074,1.451614746,0.438856465,1.134366855,2.33655597,2.10718537,0.192594997,1.286788162,5.459493803,0
8.401836618,21.2801713,9.843426317,15.38657132,6.75E-05,1.73E-06,7.72E-06,0.000145737,0.155939148,0.092497994,0.065338244,0.095764433,0.818272396,1.059630068,0.636104616,1.010509913,0.669569714,1.122815881,0.404629083,1.021130285,0
8.427216666,23.28302095,19.65370053,21.65326678,2.13E-05,2.46E-09,3.01E-05,4.63E-05,0.125624108,0.109540393,0.119537542,0.106030682,0.68325799,1.400593381,1.066957136,1.263398769,0.466841481,1.961661819,1.13839753,1.596176449,0
113.9256315,37.18777119,36.17449623,11.3569676,1.96E-05,2.34E-05,1.05E-05,4.07E-06,0.723102826,0.307681288,0.289645925,0.042679219,6.461360801,2.785509359,2.735958278,0.546016304,41.7491834,7.75906239,7.485467701,0.298133804,0
16.75340034,16.92611411,21.67586615,5.572046127,1.76E-07,1.86E-07,2.21E-07,7.08E-06,0.259672279,0.092801418,0.137999775,0.032277605,1.422074505,1.012651818,1.25510094,0.343695437,2.022295898,1.025463705,1.575278369,0.118126553,0
18.87988726,14.54415609,13.30885888,26.16551375,1.72E-08,5.61E-08,1.68E-05,0.000121664,0.284616777,0.093685227,0.073342408,0.138721618,1.60294654,1.022459914,0.784767301,1.553724696,2.569437611,1.045424277,0.615859716,2.414060432,0
11.37662808,8.627827963,25.83421393,24.03232145,1.11E-06,1.30E-06,1.06E-07,0.00016264,0.239319932,0.045940955,0.117360317,0.15171912,1.141363638,0.451511827,1.327337357,1.561726286,1.302710955,0.20386293,1.76182446,2.438988993,0
58.90115324,48.27198366,288.9411142,1653.426215,0.000386029,9.03E-05,0.000154244,7.58E-05,0.460471274,0.450736417,1.731819664,9.057412752,3.177492902,3.913120569,19.08421145,98.98253069,10.09646114,15.31251259,364.2071268,9797.541383,0
25.81414792,12.20375581,51.03669207,51.05787239,1.05E-06,7.26E-07,4.19E-05,0.000370694,0.225741109,0.073629278,0.199226327,0.235950726,1.489401555,0.723140186,2.516646662,2.709560478,2.218316993,0.522931729,6.333510423,7.341717986,0
94.82353786,131.6311898,631.6495835,1023.264572,3.92E-05,0.000239815,5.00E-05,0.000115066,1.286735087,0.803431276,3.443182116,5.821201893,6.932923397,7.694319929,37.26861533,63.67614,48.06542683,59.20255917,1388.949689,4054.650805,0
19.43378346,51.57833341,11.60418735,36.70437728,1.45E-05,0.000115463,4.26E-06,0.000104691,0.298326177,0.201835903,0.093822869,0.174439027,1.616163312,2.416573036,0.799278828,2.045193566,2.61198385,5.839825236,0.638846645,4.182816723,0
24.52128166,11.39835877,19.37640549,54.80837142,4.19E-05,5.14E-05,2.12E-05,9.37E-05,0.329591025,0.09739276,0.181931382,0.362298933,1.853253965,0.87482795,1.447704377,4.214896969,3.434550257,0.765323941,2.095847965,17.76535646,0
11.0835494,11.48167384,11.16444839,54.55412129,6.67E-07,3.78E-06,4.85E-07,0.000112858,0.130092702,0.08551589,0.056595901,0.269876057,0.710349206,0.749770769,0.585328303,3.253612423,0.504595994,0.562156206,0.342609223,10.5859938,0
11.27614543,13.34350629,7.923891547,19.91714886,0.000168418,7.74E-05,1.32E-06,7.25E-05,0.148092939,0.091271049,0.064383887,0.096295467,0.824833769,0.788573254,0.601325729,1.125020569,0.680350746,0.621847776,0.361592632,1.265671281,0
14.17801808,14.74561897,6.001565058,37.74595605,0.000103388,2.19E-07,1.25E-05,8.94E-05,0.223173933,0.129255805,0.035362623,0.1929708,1.217843097,1.181450807,0.388053669,2.194774246,1.483141808,1.39582601,0.15058565,4.817033991,0
