eegRawValue,attention,meditation,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent
-269,97,56,25929,11056,4940,6220,5831,7470,5409,2776,0
21,100,50,6209,13361,9573,4399,2091,11743,5177,1551,0
36,100,53,4265,3473,2603,3850,4612,4149,4709,3072,0
43,100,56,3136,14273,4154,4627,760,8238,3688,739,0
26,100,47,6744,6477,1649,1558,956,7828,2222,1425,0
3,88,37,583861,47360,15648,14286,2981,3539,6984,652,0
25,80,38,25486,5779,4685,4954,3718,6489,1957,1870,0
21,75,40,2631,4961,2048,2785,2962,3961,2497,3552,0
37,64,54,5201,5659,6938,1603,4493,4620,3168,3847,0
27,84,74,6736,4076,2946,5365,2653,1816,6174,1746,0
19,81,67,2832,4509,1398,2766,3925,2486,4846,1730,0
23,61,56,175800,47680,19684,3178,682,9218,4935,1920,0
10,56,56,41374,21103,15536,4155,3145,10486,2934,2070,0
61,77,48,3272,3566,4873,2511,2072,8210,4813,3887,0
17,81,47,7508,6769,1187,5681,6287,6873,11985,1506,0
68,93,37,6499,23117,1396,1189,2500,4783,8559,3808,0
10,94,34,3280,15575,4222,9283,8115,7803,4588,1634,0
29,96,30,4922,4064,7721,3969,1618,16956,6300,3693,0
4,87,47,2730,4940,4230,20644,12498,6587,3290,2871,0
35,100,54,3246,7024,848,2405,3966,8824,4735,2472,0
41,100,69,2470,1684,7265,14345,5772,7734,5824,4639,0
32,93,69,4978,4476,3019,5031,7910,5369,2096,2304,0
43,100,56,3767,8494,5424,7711,6688,16450,1640,1873,0
-151,91,75,8679,12974,10547,1758,1583,4745,1585,2201,0
27,78,57,205280,81224,14590,17778,3901,13090,3797,6445,0
2,78,50,14980,7227,397,4673,6615,4909,9762,3081,0
-275,66,64,12119,4399,6883,17630,7403,9086,6288,1956,0
17,75,60,8647,12862,3400,10136,6104,10761,4522,3215,0
10,91,66,1411,8392,2517,12279,6671,12994,4017,3086,0
35,94,70,4344,9365,2781,7393,4895,10694,3466,5969,0
43,100,66,1131,2471,10693,1939,3332,8648,2427,3201,0
34,78,70,176503,73883,17303,16749875,6191,5596,1701,8391,0
50,80,74,14343,6478,4150,7839,1380,11947,4194,3312,0
7,77,61,25384,14891,3029,1391,3585,9034,3434,2872,0
34,78,56,5356,9045,6561,13155,4504,16962,3771,9596,0
44,100,56,6964,13604,15472,1556,4511,9563,7532,7465,0
81,100,51,6609,4103,4714,8496,4111,20899,4789,1269,0
43,100,63,7923,4308,3774,3818,6532,7568,1419,3931,0
16,100,51,5475,10359,6932,1692,1253,24400,3858,3870,0
19,100,47,17498,11910,8864,4365,5379,14392,5253,2226,0
28,100,38,8130,10989,890,4444,3145,8166,7875,3047,0
-165,100,43,6666,6967,24625,3036,10826,24471,3583,4266,0
-262,87,35,16771722,78988,5299,6256,4643,12000,7177,2370,0
32,93,23,7452,5295,1790,4027,13557,16660,9259,1714,0
7,93,34,6422,8367,10257,2329,4388,12038,11903,1913,0
-267,88,43,2470,1533,22434,10750,6932,16193,4951,7768,0
59,100,48,7503,5979,227,3304,3673,14963,3320,3528,0
71,94,75,3943,2084,2036,12773,4062,4599,3551,4206,0
-266,94,77,9800,13133,14685,4437,1228,19534,3813,1594,0
21,100,41,2404,5325,1205,485,3858,12186,6529,1195,0
-83,90,43,75850,30976,2783,5911,4345,10941,8181,3087,0
44,80,29,550412,16773430,30011,8334,4677,9438,2528,2166,0
22,74,20,506,15146,3243,3672,7030,6022,3382,1274,0
41,53,38,3119,21685,11338,2844,3579,6805,8351,3925,0
40,57,54,1268,5581,9045,4920,6975,8603,9234,3729,0
43,74,57,6451,5352,9693,4794,8605,8103,6067,1373,0
6,77,67,6435,8662,11943,2121,3576,11092,4652,2273,0
24,88,66,10519,6642,4256,4086,9844,9800,3539,1613,0
48,100,56,18712,1779,883,3025,3661,8834,2515,4736,0
-475,21,48,241635,132889,16773763,9935,16747096,12908,3123,572,1
370,26,50,984462,164528,27521,16768510,71340,16749014,10589,4501,1
85,27,16,159945,16761944,2976,2549,3123,8074,4192,2754,1
36,54,27,11393,7360,3562,4150,3325,7266,6423,4422,1
69,61,35,8940,2001,1077,10113,4906,5796,4260,2298,1
38,74,54,6533,3665,6889,13507,6107,9290,7791,1335,1
38,90,70,1450,6357,3289,2504,5284,9507,2175,1351,1
37,63,61,75028,142652,26465,4641,3279,5485,6321,2082,1
24,67,57,7735,2121,1322,10687,5583,9622,6249,3418,1
-301,74,35,1717,9071,1784,2445,4132,9379,4034,2958,1
0,63,24,5064,9944,438,2157,8222,3366,6447,1012,1
61,91,30,4077,5812,4202,762,3555,6412,2619,2503,1
35,88,24,2951,7812,2950,3798,3290,7233,4371,4870,1
39,94,24,6206,4057,16777173,3383,1574,10240,2239,3433,1
28,78,54,15057,16559,14849,16529,7911,2685,4230,7119,1
22,61,43,107032,16773460,6857,3568,6582,6719,7581,2268,1
25,57,56,7518,3005,1935,10614,2027,5804,3120,5471,1
18,47,43,6737,17567,735,1442,2819,9241,3247,966,1
58,74,30,5036,2334,7771,1361,6083,8778,5881,1640,1
55,83,54,3230,5539,4034,6005,4111,4367,3000,1180,1
45,84,34,8186,15943,4777,1276,4388,8565,4053,4933,1
36,83,43,4889,16629,4387,2652,15199,8107,3007,2884,1
21,48,17,342451,111662,3665,6199,3734,3330,3789,2923,1
54,63,8,11611,2770,1640,3267,4722,9761,3535,2228,1
18,63,14,5914,18045,6088,3701,5261,9669,2981,3001,1
38,66,30,6832,1764,5851,2896,7368,5314,3738,1265,1
51,90,44,2635,19048,453,3602,3746,4711,4500,1434,1
32,75,48,14482,6554,6692,718,6015,3960,4440,5526,1
35,75,60,5955,3775,3922,5987,4291,4791,3006,4965,1
44,80,60,11862,1953,2177,6444,4182,8249,3829,4506,1
21,70,48,233699,131706,5116,3321,15013,12416,11046,3352,1
-265,74,41,22466,16827,5870,3442,13260,9031,4623,2320,1
26,69,43,6602,5212,19451,1921,13953,6446,7163,4427,1
21,70,30,6441,5513,1509,2705,4492,11949,5804,2280,1
